title,description,type_specific,file,label,content,date,name,role,email,details
التقويم الاكاديمى,,announcement,html\plain_aast.edu_ar_calendar_index.php_unit_id=1.html,announcement,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC,,,,,
مقـار الأكاديمية,,news,html\plain_aast.edu_ar_campuses_.html,news,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC,"var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
المراكــز بالأكـاديمية,,news,html\plain_aast.edu_ar_centers_.html,news,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC,"var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
الكليـــات بالأكاديمية,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم.,college,html\plain_aast.edu_ar_colleges_.html,college,,,,,,
الدراسات العليا,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم.,college,html\plain_aast.edu_ar_colleges_postgraduate.php.html,college,,,,,,
توفر الأكاديمية لطلابها فرص مميزة من التدريب العملى لتطبيق ما تم دراسته لتساعدهم على إكتساب المهارات اللازمة لسوق العمل,ايمانا من الاكاديمية العربية للعلوم والتكنولوجيا والنقل البحري بأهمية التدريب العملي الميداني للطلاب ومايحققه من صقل لمهاراتهم وتأهيلهم للعمل مباشرة دون الحاجة الى دورات تدريبية متخصصة وزيادة قدرتهم على التواصل والعمل الجماعي، فان الأكاديمية توفر فرص للتدريب العملي الميداني داخل وخارج البلاد للإرتقاء بمستوى التدريب الطلابى ليتواكب مع مستجدات التكنولوجيا والتطوير ولضمان تحقيق التدريب لأهدافه المرجوة ثم تنميط التدريب ووضع المعايير والضوابط المحققة لضمان جودة التدريب.,college,html\plain_aast.edu_ar_colleges_practical-training_.html,college,,,,,,
جميع إنجازات التدريب العملي,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم.,college,html\plain_aast.edu_ar_colleges_practical-training_all-ach.php.html,college,,,,,,
إنجازات التدريب المحلي,جميع حقوق النشر محفوظة 2020 © مركز المعلومات و التوثيق - الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري | للإتصال 19838,college,html\plain_aast.edu_ar_colleges_practical-training_local-achievments.php.html,college,,,,,,
الدراســات الجامعيــة,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم.,college,html\plain_aast.edu_ar_colleges_undergraduate.php.html,college,,,,,,
المجمعـات بالأكاديمية,,news,html\plain_aast.edu_ar_complexes_.html,news,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم. مع التحديات الاقتصادية وجودة النمو الاقتصادي المستدام أصبحت حاجة ملحة تأسس مركز البحوث والاستشارات بالأكاديمية لخدمة النقل البحري في مصر والدول العربية. RMSI تم إنشاءه بالأكاديمية لتنفيذ متطلبات المعايير الدولية خدمات استشارية من خلال المركز العربي الاستشاري للتحقيق في الحوادث البحرية - AMAIC,"var $zoho=$zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode: ""be75dc65916736ef4d8e6bed223f7171613267f7632ea1d4c4880f901dc96e8e"", values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript"";s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget"";t=d.getElementsByTagName(""script"")[0];t.parentNode.insertBefore(s,t);",,,,
,,staff,html\plain_aast.edu_ar_deaneries_.html,staff,,,العمــادات بالأكـاديمية,,,
أهم الأحداث في الاكاديمية,نحن نؤمن بأن التميز المستدام في التعليم والبحث ، التطوير والابتكار هما طريقتنا في الوصول إلى الريادة بين الجامعات والمؤسسات التعليمية في المنطقة العربية عالم.,college,html\plain_aast.edu_ar_events_index.php_unit_id=1.html,college,,,,,,
